line,station_code,station_name_ko
1,115,설화명곡
1,116,화원
1,117,대곡(정부대구청사)
1,118,진천(보강병원)
1,119,월배
1,120,상인(대구보훈병원)
1,121,월촌
1,122,송현(참조은병원)
1,123,서부정류장(관문시장·대구공업대학교)
1,124,대명
1,125,안지랑(대구가톨릭대학교병원)
1,126,현충로
1,127,영대병원(영남이공대학교)
1,128,교대
1,129,명덕(2·28민주운동기념회관)
1,130,반월당
1,131,중앙로(해동내과·시청·중구청)
1,132,대구역
1,133,칠성시장(유니온병원)
1,134,신천(경북대입구)
1,135,동대구역
1,136,동구청(큰고개)
1,137,아양교(대구국제공항입구)
1,138,동촌(동촌유원지)
1,139,해안(퀸벨호텔)
1,140,방촌
1,141,용계(영진직업전문학교)
1,142,율하(항시원외과)
1,143,신기(신기한속내과)
1,144,반야월
1,145,각산(속안심내과연합의원)
1,146,안심(혁신도시·첨복단지)
1,147,대구한의대병원
1,148,부호(경일대·호산대)
1,149,하양(대구가톨릭대)
2,216,문양
2,217,다사
2,218,대실
2,219,강창
2,220,계명대
2,221,성서산업단지
2,222,이곡
2,223,용산
2,224,죽전
2,225,감삼
2,226,두류
2,227,내당
2,228,반고개
2,229,청라언덕
2,230,반월당
2,231,경대병원
2,232,대구은행
2,233,범어
2,234,수성구청
2,235,만촌
2,236,담티
2,237,연호
2,238,수성알파시티
2,239,고산
2,240,신매
2,241,사월
2,242,정평
2,243,임당
2,244,영남대
3,312,칠곡경대병원
3,313,학정
3,314,팔거(국립농관원·통계청)
3,315,동천
3,316,칠곡운암
3,317,구암(과학대·보건대입구)
3,318,태전
3,319,매천
3,320,매천시장
3,321,팔달
3,322,공단
3,323,만평
3,324,팔달시장
3,325,원대
3,326,북구청(DGB대구은행파크)
3,327,달성공원
3,328,서문시장(동산병원)
3,329,청라언덕(신남·척탑병원)
3,330,남산(계명네거리)
3,331,명덕(2·28민주운동기념회관)
3,332,건들바위
3,333,대봉교
3,334,수성시장
3,335,수성구민운동장
3,336,어린이세상
3,337,황금
3,338,수성못(TBC)
3,339,지산
3,340,범물
3,341,용지
