dessert_category,region,query,name,road_address,jibun_address,telephone,external_link,category_text,mapx,mapy,longitude,latitude,geocode_error,naver_place_id,sid_status,sid_search_keyword,basic_status,phone,phone_status,ai_briefing_json,ai_briefing_status,ai_briefing_debug,visitor_review_total,review_kw_json,review_kw_status,review_kw_debug,hero_img_url,hero_img_status,hero_img_debug,hours_raw,hours_status,hours_debug,basic_try,ai_try
saltbread,daegu,대구 달성군 소금빵,카프리쵸사 현풍 본점,"대구광역시 달성군 유가읍 테크노상업로 120 1층 121, 122호","대구광역시 달성군 유가읍 봉리 619 1층 121, 122호",,https://www.instagram.com/caprichosa_ccb,"카페,디저트>베이커리",1284635581,356932220,128.4628865,35.6930595,,1139406200.0,SID_OK_AUTO_DETAIL,대구 카프리쵸사 현풍 본점,OK,053-611-5003,OK,"[""카프리쵸사 현풍 본점은 현풍 지역에서 오래된 빵집으로, 소금빵부터 크림치즈스콘까지 다양한 메뉴를 자랑합니다."", ""특히 버터프레첼은 단짠단짠의 매력으로 인기가 높으며, 샌드위치 종류는 신선한 재료로 만들어져 브런치로도 좋습니다."", ""주말에는 혼잡할 수 있으니 방문 시간을 여유 있게 계획하시는 것을 추천드립니다.""]",OK,bkeel_count=3,4.0,"[{""keyword"": ""빵이 맛있어요"", ""count"": 2335}, {""keyword"": ""디저트가 맛있어요"", ""count"": 695}, {""keyword"": ""친절해요"", ""count"": 613}, {""keyword"": ""종류가 다양해요"", ""count"": 596}, {""keyword"": ""재료가 신선해요"", ""count"": 505}]",OK,keyword_count=5 total=4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250505_253%2F1746454811414b9Cv9_JPEG%2F9C48F743-7B85-4805-96C7-27E433BABD3F.jpeg,OK,"hit=a#_autoPlayable img
src_len=193",매일 09:00 - 22:00,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=2
detail_lines=1",0,0
saltbread,daegu,대구 달성군 소금빵,주리485,대구광역시 달성군 가창면 주리2길 48 주리485카페,대구광역시 달성군 가창면 주리 485-1 주리485카페,,https://www.instagram.com/juri.485,"음식점>카페,디저트",1286232435,357517066,128.6232338,35.7517181,,1096175388.0,SID_OK_AUTO_DETAIL,대구 주리485,OK,,PHONE_NOT_FOUND,"[""주리485는 대구 근교 가창에 있는 브런치 카페로, 넓은 실내외 공간과 주차장을 갖추고 있습니다."", ""브리오슈 플레이트, 스파이시 바질 잠봉, 드립커피 등 다양한 메뉴가 있으며, 특히 수제 자몽 블랙티와 따뜻한 초코 음료가 인기입니다."", ""2층에서 바라보는 푸릇한 풍경과 편안한 좌석이 매력적입니다.""]",OK,bkeel_count=3,3.0,"[{""keyword"": ""커피가 맛있어요"", ""count"": 2305}, {""keyword"": ""뷰가 좋아요"", ""count"": 2285}, {""keyword"": ""인테리어가 멋져요"", ""count"": 1538}, {""keyword"": ""사진이 잘 나와요"", ""count"": 1216}, {""keyword"": ""디저트가 맛있어요"", ""count"": 1008}]",OK,keyword_count=5 total=3,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20260113_147%2F1768279869265ze8TJ_JPEG%2F0cqE14uCxD_01.jpg,OK,"hit=a#_autoPlayable img
src_len=171",월 11:00 - 19:00 18:00 라스트오더 | 화 11:00 - 19:00 18:00 라스트오더 | 수 11:00 - 19:00 18:00 라스트오더 | 목 11:00 - 19:00 18:00 라스트오더 | 금 11:00 - 19:00 18:00 라스트오더 | 토 10:30 - 19:00 18:00 라스트오더 | 일 10:30 - 19:00 18:00 라스트오더,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=8
detail_lines=7",0,0
saltbread,daegu,대구 달성군 소금빵,오퐁드부아,대구광역시 달성군 가창면 주리2길 104,대구광역시 달성군 가창면 주리 520,,https://blog.naver.com/aufonddubois,"음식점>카페,디저트",1286182654,357525347,128.618046,35.7525228,,,SEARCH_TIMEOUT_NO_UI,대구 오퐁드부아,,,,,,,,,,,,,,,,,0,0
saltbread,daegu,대구 달성공원 소금빵 베이커리,마지카운티,대구광역시 달성군 옥포읍 용연사길 105 마지카운티,대구광역시 달성군 옥포읍 반송리 364 마지카운티,,https://www.instagram.com/mj_county,"음식점>카페,디저트",1285053456,357542649,128.5053456,35.7542649,,1223615487.0,SID_OK_AUTO_DETAIL,대구 마지카운티,OK,0507-1436-5671,OK,"[""마지카운티는 자연 경관과 어우러진 대구의 대형 카페로, 3층 규모의 실내외 좌석과 계곡, 모래놀이 시설을 갖추고 있습니다."", ""크림말차라떼, 딸기 요거트 스무디 등 다양한 음료와 함께 송해공원왕팥빵 등 베이커리 메뉴를 즐길 수 있습니다."", ""특히 단체 모임이나 가족 단위 방문객에게 추천합니다.""]",OK,bkeel_count=3,1.0,"[{""keyword"": ""커피가 맛있어요"", ""count"": 971}, {""keyword"": ""디저트가 맛있어요"", ""count"": 766}, {""keyword"": ""인테리어가 멋져요"", ""count"": 632}, {""keyword"": ""뷰가 좋아요"", ""count"": 520}, {""keyword"": ""음료가 맛있어요"", ""count"": 424}]",OK,keyword_count=5 total=1,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241226_189%2F17351422574723J69Y_JPEG%2F1000028168.jpg,OK,"hit=a#_autoPlayable img
src_len=166",매일 10:00 - 21:30 21:00 라스트오더,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=2
detail_lines=1",0,0
saltbread,daegu,대구 화원 소금빵,바토플루이르 화원송해,대구광역시 달성군 옥포읍 옥포로57길 57-7 1층,대구광역시 달성군 옥포읍 기세리 694 1층,,https://www.instagram.com/bateau.fluir_sh/,"음식점>카페,디저트",1284909700,357696528,128.49097,35.7696529,,1348335744.0,SID_OK_AUTO_DETAIL,대구 바토플루이르 화원송해,OK,0507-1457-7117,OK,"[""바토플루이르 화원송해는 대구에서 유명한 베이커리 카페로, 송해공원의 아름다운 풍경을 감상할 수 있는 곳입니다."", ""소금빵과 감자 치즈 베이글이 특히 맛있으며, 커피는 테라로사 원두를 사용해 깊은 맛을 자랑합니다."", ""가족 단위 방문객을 위한 아기의자와 넓은 좌석이 마련되어 있어 편리합니다.""]",OK,bkeel_count=3,2.0,"[{""keyword"": ""디저트가 맛있어요"", ""count"": 1653}, {""keyword"": ""커피가 맛있어요"", ""count"": 1633}, {""keyword"": ""뷰가 좋아요"", ""count"": 1414}, {""keyword"": ""인테리어가 멋져요"", ""count"": 1084}, {""keyword"": ""음료가 맛있어요"", ""count"": 808}]",OK,keyword_count=5 total=2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241026_231%2F1729945940096llv3F_JPEG%2FIMG_2320.jpeg,OK,"hit=a#_autoPlayable img
src_len=165",매일 10:00 - 22:30 21:30 라스트오더,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=2
detail_lines=1",0,0
saltbread,daegu,대구 대곡 소금빵,베이커리완,대구광역시 달서구 한실로6길 154-7 대곡동821 Bakery Wann,대구광역시 달서구 대곡동 821 821 Bakery Wann,,,"카페,디저트>베이커리",1285290019,357941616,128.5290019,35.7941616,,1271212344.0,SID_OK_AUTO_DETAIL,대구 베이커리완,OK,0507-1388-8370,OK,"[""베이커리완은 드립커피와 당일 구운 빵이 맛있는 카페로, 다양한 원두를 직접 선택해 즐길 수 있습니다."", ""2층 통창으로 보이는 정원과 루프탑에서 편안한 분위기를 만끽할 수 있으며, 단체석과 아기자기한 인테리어가 특징입니다."", ""소품샵도 운영되어 구경하는 재미가 있고, 주변 산책로와 가까워 여유로운 시간을 보내기 좋습니다.""]",OK,bkeel_count=3,708.0,"[{""keyword"": ""빵이 맛있어요"", ""count"": 334}, {""keyword"": ""커피가 맛있어요"", ""count"": 250}, {""keyword"": ""인테리어가 멋져요"", ""count"": 143}, {""keyword"": ""음료가 맛있어요"", ""count"": 126}, {""keyword"": ""친절해요"", ""count"": 103}]",OK,keyword_count=5 total=708,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220606_151%2F16545028056751cmyk_JPEG%2F20220417_183904.jpg,OK,"hit=a#_autoPlayable img
src_len=171",월 11:00 - 22:00 21:30 라스트오더 | 화 정기휴무 (매주 화요일) | 수 11:00 - 22:00 21:30 라스트오더 | 목 11:00 - 22:00 21:30 라스트오더 | 금 11:00 - 22:00 21:30 라스트오더 | 토 11:00 - 22:00 21:30 라스트오더 | 일 11:00 - 22:00 21:30 라스트오더,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=8
detail_lines=7",0,0
saltbread,daegu,대구 달서구 소금빵,브로 커피앤베이커리,대구광역시 달서구 수밭서길 11 Bro coffee&bakery,대구광역시 달서구 도원동 972-9 Bro coffee&bakery,,,"음식점>카페,디저트",1285478344,357972111,128.5478344,35.7972111,,1063941228.0,SID_OK_AUTO_DETAIL,대구 브로 커피앤베이커리,OK,0507-1373-9802,OK,"[""브로 커피앤베이커리는 대구 달서구의 대형 카페로, 수변공원 뷰를 즐기며 다양한 커피와 베이커리를 맛볼 수 있는 공간입니다."", ""원두 선택이 가능하며, 넓은 전용 주차장과 단체석을 갖춰 편리하게 방문할 수 있습니다."", ""특히 멜론 케이크와 같은 독특한 디저트 메뉴가 인기이며, 계절마다 변화하는 자연 풍경을 감상하며 힐링하기 좋은 카페입니다.""]",OK,bkeel_count=3,2.0,"[{""keyword"": ""커피가 맛있어요"", ""count"": 2266}, {""keyword"": ""디저트가 맛있어요"", ""count"": 1759}, {""keyword"": ""인테리어가 멋져요"", ""count"": 1119}, {""keyword"": ""음료가 맛있어요"", ""count"": 799}, {""keyword"": ""빵이 맛있어요"", ""count"": 770}]",OK,keyword_count=5 total=2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230607_283%2F1686114663011LMnue_JPEG%2FIMG_1165.jpeg,OK,"hit=a#_autoPlayable img
src_len=165",월 11:00 - 22:00 21:30 라스트오더 | 화 11:00 - 22:00 21:30 라스트오더 | 수 11:00 - 22:00 21:30 라스트오더 | 목 11:00 - 22:00 21:30 라스트오더 | 금 11:00 - 22:00 21:30 라스트오더 | 토 11:00 - 22:00 21:30 라스트오더 | 일 11:00 - 22:00 21:30 라스트오더 | 02/17 설날 휴무,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=9
detail_lines=8",0,0
saltbread,daegu,대구 설화명곡역 소금빵,솔트,대구광역시 달성군 화원읍 성천로 5 달성군여성문화복지센터 별관 1층,대구광역시 달성군 화원읍 설화리 553-41 달성군여성문화복지센터 별관 1층,,https://blog.naver.com/hpfence0802_,"음식점>카페,디저트",1284887765,357988012,128.4879063,35.7985646,,,SEARCH_TIMEOUT_NO_UI,대구 솔트,,,,,,,,,,,,,,,,,0,0
saltbread,daegu,대구 설화명곡역 소금빵,해피베이커리,대구광역시 달성군 화원읍 성천로 5 지하 1층,대구광역시 달성군 화원읍 설화리 553-41 지하 1층,,http://storefarm.naver.com/happybakery,"카페,디저트>베이커리",1284879063,357985646,128.4879063,35.7985646,,,SEARCH_TIMEOUT_NO_UI,대구 해피베이커리,,,,,,,,,,,,,,,,,0,0
saltbread,daegu,대구 범물 소금빵,하이나우,대구광역시 수성구 진밭길 411-12 하이나우,대구광역시 수성구 범물동 1128 하이나우,,https://www.instagram.com/high_na_woo/,"음식점>카페,디저트",1286726486,357987986,128.6726486,35.7987986,,1217132843.0,SID_OK_AUTO_DETAIL,대구 하이나우,OK,0507-1355-4512,OK,"[""하이나우는 대구 범물동 진밭골에 위치한 카페로, 직접 키운 과일과 농작물로 만든 메뉴들이 특징입니다."", ""망고빙수와 생과일 눈꽃빙수는 가성비 좋은 인기 메뉴이며, 시그니처 음료인 지금슈페너와 카페하노이도 맛있습니다."", ""소금빵과 인절미크림빵 등 베이커리 메뉴도 인기 있으며, 2층 테라스와 넓은 주차장이 있어 편리합니다.""]",OK,bkeel_count=3,677.0,"[{""keyword"": ""커피가 맛있어요"", ""count"": 438}, {""keyword"": ""디저트가 맛있어요"", ""count"": 384}, {""keyword"": ""친절해요"", ""count"": 269}, {""keyword"": ""뷰가 좋아요"", ""count"": 209}, {""keyword"": ""특별한 메뉴가 있어요"", ""count"": 194}]",OK,keyword_count=5 total=677,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241120_150%2F1732063481737ElcBi_JPEG%2F%25C6%25F7%25BD%25BA%25C0%25CC%25B9%25CC%25C1%25F6_%25BD%25C3%25B1%25D7%25B4%25CF%25C3%25B3.jpg,OK,"hit=a#_autoPlayable img
src_len=247",월 정기휴무 (매주 월요일) | 화 10:00 - 18:00 17:30 라스트오더 | 수 10:00 - 18:00 17:30 라스트오더 | 목 10:00 - 18:00 17:30 라스트오더 | 금 10:00 - 18:00 17:30 라스트오더 | 토 07:30 - 18:00 17:30 라스트오더 | 일 07:30 - 18:00 17:30 라스트오더 | - 공휴일의 월요일은 정상영업합니다,OK,"hit=hours_toggle
aria_before=false
aria_after=true
w9QyJ_count=9
detail_lines=8",0,0
