dessert_category,region,query,name,road_address,jibun_address,telephone,external_link,category_text,mapx,mapy,longitude,latitude,geocode_error,naver_place_id,enrich_status,opening_hours_json,homepage_url,thumbnail_url
saltbread,daegu,대구 달성군 소금빵,카프리쵸사 현풍 본점,"대구광역시 달성군 유가읍 테크노상업로 120 1층 121, 122호","대구광역시 달성군 유가읍 봉리 619 1층 121, 122호",,https://www.instagram.com/caprichosa_ccb,"카페,디저트>베이커리",1284635581,356932220,128.4628865,35.6930595,,,NO_SID,,,
saltbread,daegu,대구 달성군 소금빵,주리485,대구광역시 달성군 가창면 주리2길 48 주리485카페,대구광역시 달성군 가창면 주리 485-1 주리485카페,,https://www.instagram.com/juri.485,"음식점>카페,디저트",1286232435,357517066,128.6232338,35.7517181,,,NO_SID,,,
saltbread,daegu,대구 달성군 소금빵,오퐁드부아,대구광역시 달성군 가창면 주리2길 104,대구광역시 달성군 가창면 주리 520,,https://blog.naver.com/aufonddubois,"음식점>카페,디저트",1286182654,357525347,128.618046,35.7525228,,,NO_SID,,,
saltbread,daegu,대구 달성공원 소금빵 베이커리,마지카운티,대구광역시 달성군 옥포읍 용연사길 105 마지카운티,대구광역시 달성군 옥포읍 반송리 364 마지카운티,,https://www.instagram.com/mj_county,"음식점>카페,디저트",1285053456,357542649,128.5053456,35.7542649,,,NO_SID,,,
saltbread,daegu,대구 화원 소금빵,바토플루이르 화원송해,대구광역시 달성군 옥포읍 옥포로57길 57-7 1층,대구광역시 달성군 옥포읍 기세리 694 1층,,https://www.instagram.com/bateau.fluir_sh/,"음식점>카페,디저트",1284909700,357696528,128.49097,35.7696529,,,NO_SID,,,
saltbread,daegu,대구 대곡 소금빵,베이커리완,대구광역시 달서구 한실로6길 154-7 대곡동821 Bakery Wann,대구광역시 달서구 대곡동 821 821 Bakery Wann,,,"카페,디저트>베이커리",1285290019,357941616,128.5290019,35.7941616,,,NO_SID,,,
saltbread,daegu,대구 달서구 소금빵,브로 커피앤베이커리,대구광역시 달서구 수밭서길 11 Bro coffee&bakery,대구광역시 달서구 도원동 972-9 Bro coffee&bakery,,,"음식점>카페,디저트",1285478344,357972111,128.5478344,35.7972111,,,NO_SID,,,
saltbread,daegu,대구 설화명곡역 소금빵,솔트,대구광역시 달성군 화원읍 성천로 5 달성군여성문화복지센터 별관 1층,대구광역시 달성군 화원읍 설화리 553-41 달성군여성문화복지센터 별관 1층,,https://blog.naver.com/hpfence0802_,"음식점>카페,디저트",1284887765,357988012,128.4879063,35.7985646,,,NO_SID,,,
saltbread,daegu,대구 설화명곡역 소금빵,해피베이커리,대구광역시 달성군 화원읍 성천로 5 지하 1층,대구광역시 달성군 화원읍 설화리 553-41 지하 1층,,http://storefarm.naver.com/happybakery,"카페,디저트>베이커리",1284879063,357985646,128.4879063,35.7985646,,,NO_SID,,,
saltbread,daegu,대구 범물 소금빵,하이나우,대구광역시 수성구 진밭길 411-12 하이나우,대구광역시 수성구 범물동 1128 하이나우,,https://www.instagram.com/high_na_woo/,"음식점>카페,디저트",1286726486,357987986,128.6726486,35.7987986,,,NO_SID,,,
saltbread,daegu,대구 대곡 소금빵,베이커리 라누,대구광역시 달서구 한실로6길 84-26 베이커리 라누,대구광역시 달서구 대곡동 621 베이커리 라누,,https://smartstore.naver.com/bakerylanu,"카페,디저트>베이커리",1285288569,357998193,128.5288501,35.7998307,,,NO_SID,,,
saltbread,daegu,대구 대곡 소금빵,훈이제빵소,대구광역시 달서구 갈밭로 14 1층 101호,대구광역시 달서구 대곡동 1080-1 1층 101호,,http://band.us@hoonybakery,"카페,디저트>베이커리",1285319783,358015218,128.5321216,35.8014083,,,NO_SID,,,
saltbread,daegu,대구 화원 소금빵 베이커리,푸른달,대구광역시 달성군 화원읍 성암로1길 58 푸른 달 카페,대구광역시 달성군 화원읍 본리리 108-7 푸른 달 카페,,https://100원커피이벤트-선착순주문하기.com,"음식점>카페,디저트",1285091498,358021918,128.5090864,35.8021989,,,NO_SID,,,
saltbread,daegu,대구 대곡 소금빵,행운의시간들,대구광역시 달서구 화암로 325,대구광역시 달서구 대곡동 1038-1,,http://instagram.com/goodfortunetimes,"카페,디저트>베이커리",1285187551,358041959,128.5187814,35.8042356,,,NO_SID,,,
saltbread,daegu,대구 설화명곡역 소금빵,스테이블모먼트 화원점,대구광역시 달성군 화원읍 비슬로 2614-9 스테이블 모먼트,대구광역시 달성군 화원읍 천내리 460-5 스테이블 모먼트,,https://www.instagram.com/stable_moment03,"음식점>카페,디저트",1285028627,358044842,128.5028627,35.8044842,,,NO_SID,,,
saltbread,daegu,대구 달성공원 소금빵,쉼과행복디저트카페,대구광역시 달성군 화원읍 성천로24길 12 1층 쉼과행복디저트카페,대구광역시 달성군 화원읍 천내리 103-1 1층 쉼과행복디저트카페,,https://www.instagram.com/,"음식점>카페,디저트",1284948299,358052954,128.4947437,35.8052769,,,NO_SID,,,
saltbread,daegu,대구 달서구 소금빵,우즈베이커리 대곡점,대구광역시 달서구 갈밭로 76 1.2층,대구광역시 달서구 대곡동 1056-1 1.2층,,http://www.wooz.kr/,"음식점>카페,디저트>베이커리",1285285011,358055987,128.5284701,35.8055942,,,NO_SID,,,
saltbread,daegu,대구 설화명곡역 소금빵,하토,대구광역시 달성군 화원읍 화원로7길 13 1층,대구광역시 달성군 화원읍 천내리 125-3 1층,,https://www.instagram.com/hato.cafe,"음식점>카페,디저트",1284983650,358068937,128.498365,35.8068937,,,NO_SID,,,
saltbread,daegu,대구 진천 소금빵,보밀당,대구광역시 달서구 상화로7길 38 1층,대구광역시 달서구 진천동 715-1 1층,,https://youtube.com/https://youtube.com/@bomilldangvlog,"카페,디저트>베이커리",1285201602,358090965,128.5201505,35.8090268,,,NO_SID,,,
saltbread,daegu,대구 진천 소금빵,폭스브롯,대구광역시 달서구 상화로 157-1,대구광역시 달서구 진천동 833-26,,http://instagram.com/volksbrot,"카페,디저트>베이커리",1285310888,358100545,128.5310839,35.8100504,,,NO_SID,,,
saltbread,daegu,대구 대곡역 소금빵,호미브레드,대구광역시 달서구 비슬로 2731 횡단보도 앞,대구광역시 달서구 유천동 396 횡단보도 앞,,,"카페,디저트>베이커리",1285139914,358102978,128.5133012,35.8105827,,,NO_SID,,,
saltbread,daegu,대구 화원 소금빵,그라운드커피 대구점,대구광역시 달성군 화원읍 비슬로543길 27 그라운드 커피,대구광역시 달성군 화원읍 구라리 1717 그라운드 커피,,https://www.instagram.com/groundcoffee_daegu/,"음식점>카페,디저트",1285111392,358111502,128.5110912,35.8110406,,,NO_SID,,,
saltbread,daegu,대구 화원 소금빵,카페선샤인 달서구디저트답례품,대구광역시 달서구 진천로9길 78-1 제1동 1층,대구광역시 달서구 진천동 682-25 제1동 1층,,https://s.baemin.com/boq.6yi3u,"음식점>카페,디저트",1285205738,358120952,128.5205739,35.8120952,,,NO_SID,,,
saltbread,daegu,대구 상인 소금빵,오월의아침,대구광역시 달서구 상인서로 8-5 1층,대구광역시 달서구 상인동 1554-2 1층,,https://blog.naver.com/maymorning_,"카페,디저트>베이커리",1285471772,358122246,128.5471101,35.81225,,,NO_SID,,,
saltbread,daegu,대구 월배 소금빵,피카커피 진천점,대구광역시 달서구 진천로 38 제1동 1층 피카커피 진천점,대구광역시 달서구 진천동 490-37 제1동 1층 피카커피 진천점,,https://www.instagram.com/fikacoffee_jc,"음식점>카페,디저트",1285254962,358123671,128.5254955,35.8123626,,,NO_SID,,,
saltbread,daegu,대구 진천역 소금빵,카페무늬,대구광역시 달서구 월배로 80 401동 107호,대구광역시 달서구 진천동 508 401동 107호,,https://100원커피이벤트-선착순주문하기.com,"음식점>카페,디저트",1285238987,358133492,128.5238987,35.8133492,,,NO_SID,,,
saltbread,daegu,대구 월배 소금빵 카페,한나식빵 월배점,대구광역시 달서구 월배로 51 진천역AK그랑폴리스2차상가 1층,대구광역시 달서구 유천동 595 진천역AK그랑폴리스2차상가 1층,,http://hannafnb.com,"음식점>카페,디저트>베이커리",1285202162,358135795,128.5199767,35.8139027,,,NO_SID,,,
saltbread,daegu,대구 상인역 소금빵 베이커리,우노커피,대구광역시 달서구 월배로40길 120,대구광역시 달서구 상인동 1419,,https://www.instagram.com/uno_coffee_2024,"음식점>카페,디저트",1285392812,358140400,128.5392812,35.81404,,,NO_SID,,,
saltbread,daegu,대구 월배 소금빵,온더온,대구광역시 달서구 월배로15길 8 1층 카페 온더온,대구광역시 달서구 진천동 595-28 1층 카페 온더온,,https://www.instagram.com/_ontheon,"음식점>카페,디저트",1285228406,358143184,128.5228726,35.8143559,,,NO_SID,,,
saltbread,daegu,대구 진천역 소금빵,포라운드커피&베이커리,대구광역시 달서구 월배로 120 서호메디컬타워 1층 106호 포라운드커피&베이커리,대구광역시 달서구 진천동 244-5 서호메디컬타워 1층 106호 포라운드커피&베이커리,,https://100원커피이벤트-선착순주문하기.com,"음식점>카페,디저트",1285275034,358146428,128.5274069,35.8145194,,,NO_SID,,,
